ID Rejsu,ID Okrętu,Nazwa Okrętu,Miejsce Zdarzenia,Rodzaj Zdarzenia,Uszkodzenia
1,22,Turkusowy Dorsz,Q4,Sztorm,17%
1,22,Turkusowy Dorsz,Q5,Sztorm,7%
1,22,Turkusowy Dorsz,Q7,Rekiny,4%
1,22,Turkusowy Dorsz,P8,Rekiny,4%
5,51,Szary Węgorz,Q12,Harpie,7%
5,51,Szary Węgorz,Q12,Rekiny,4%
5,51,Szary Węgorz,R12,Harpie,7%
5,51,Szary Węgorz,S11,Piraci,17%
5,51,Szary Węgorz,S10,Mielizna,4%
5,51,Szary Węgorz,S11,Rekiny,4%
5,51,Szary Węgorz,Q12,Piraci,0%
6,52,Niebieski Okoń,P10,Harpie,0%
6,52,Niebieski Okoń,N10,Rekiny,4%
6,52,Niebieski Okoń,N10,Mielizna,14%
7,4,Złoty Jesiotr,N10,Góra lodowa,10%
8,47,Turkusowy Leszcz,H11,Harpie,0%
8,47,Turkusowy Leszcz,H10,Smok,4%
9,56,Tęczowy Okoń,J14,Harpie,0%
9,56,Tęczowy Okoń,L13,Rekiny,0%
9,56,Tęczowy Okoń,N13,Sztorm,4%
9,56,Tęczowy Okoń,P12,Rekiny,7%
11,21,Fioletowy Łosoś,O2,Sztorm,14%
11,21,Fioletowy Łosoś,N2,Sztorm,7%
11,21,Fioletowy Łosoś,L4,Rekiny,0%
11,21,Fioletowy Łosoś,K4,Sztorm,14%
11,21,Fioletowy Łosoś,J4,Kraken,4%
12,14,Barwny Łosoś,O2,Harpie,0%
13,6,Pomarańczowy Śledź,J5,Kraken,30%
15,9,Brązowy Halibut,P13,Harpie,0%
15,9,Brązowy Halibut,N13,Sztorm,25%
15,9,Brązowy Halibut,L13,Sztorm,65%
16,34,Srebrny Szczupak,K9,Harpie,0%
16,34,Srebrny Szczupak,J10,Mielizna,20%
16,34,Srebrny Szczupak,J10,Smok,30%
18,37,Niebieski Węgorz,Q2,Harpie,4%
18,37,Niebieski Węgorz,Q2,Rekiny,4%
18,37,Niebieski Węgorz,S4,Kraken,34%
18,37,Niebieski Węgorz,S4,Rekiny,4%
18,37,Niebieski Węgorz,R4,Rekiny,7%
19,41,Purpurowy Karp,N2,Harpie,0%
19,41,Purpurowy Karp,M2,Piraci,0%
19,41,Purpurowy Karp,L4,Piraci,30%
19,41,Purpurowy Karp,L4,Rekiny,15%
20,11,Biały Węgorz,K4,Kraken,40%
20,11,Biały Węgorz,J4,Harpie,10%
21,38,Tęczowy Pstrąg,H4,Harpie,10%
21,38,Tęczowy Pstrąg,H4,Rekiny,7%
21,38,Tęczowy Pstrąg,I4,Rekiny,4%
21,38,Tęczowy Pstrąg,L8,Mielizna,4%
21,38,Tęczowy Pstrąg,N10,Piraci,17%
21,38,Tęczowy Pstrąg,O11,Harpie,0%
22,1,Turkusowy Szprot,G7,Harpie,4%
22,1,Turkusowy Szprot,G7,Kraken,4%
22,1,Turkusowy Szprot,F8,Smok,44%
22,1,Turkusowy Szprot,F9,Harpie,0%
22,1,Turkusowy Szprot,F9,Rekiny,7%
22,1,Turkusowy Szprot,F7,Piraci,0%
22,1,Turkusowy Szprot,F7,Kraken,4%
22,1,Turkusowy Szprot,F6,Piraci,24%
23,46,Zielony Halibut,J5,Kraken,0%
23,46,Zielony Halibut,K8,Sztorm,20%
23,46,Zielony Halibut,M11,Kraken,40%
23,46,Zielony Halibut,N11,Góra lodowa,5%
24,15,Tęczowy Łosoś,C4,Harpie,0%
24,15,Tęczowy Łosoś,E4,Piraci,30%
25,12,Barwny Szczupak,P11,Piraci,0%
25,12,Barwny Szczupak,O11,Piraci,27%
25,12,Barwny Szczupak,O11,Harpie,0%
25,12,Barwny Szczupak,M10,Piraci,0%
25,12,Barwny Szczupak,L11,Piraci,34%
25,12,Barwny Szczupak,M11,Rekiny,0%
26,29,Zielony Szprot,L9,Rekiny,4%
26,29,Zielony Szprot,J8,Ogień,4%
28,53,Purpurowy Śledź,K15,Harpie,0%
28,53,Purpurowy Śledź,K15,Góra lodowa,30%
29,2,Czarny Jesiotr,J14,Sztorm,0%
29,2,Czarny Jesiotr,L13,Mielizna,20%
29,2,Czarny Jesiotr,L12,Góra lodowa,15%
29,2,Czarny Jesiotr,M12,Piraci,25%
29,2,Czarny Jesiotr,L12,Harpie,5%
30,33,Niebieski Śledź,P4,Piraci,30%
30,33,Niebieski Śledź,Q5,Sztorm,5%
31,31,Czarny Halibut,R2,Piraci,0%
32,65,Srebrny Łosoś,Q5,Rekiny,4%
32,65,Srebrny Łosoś,P4,Piraci,24%
33,19,Czarny Węgorz,P6,Harpie,14%
33,19,Czarny Węgorz,P8,Mielizna,4%
33,19,Czarny Węgorz,Q9,Mielizna,30%
34,63,Brązowy Łosoś,H4,Harpie,10%
34,63,Brązowy Łosoś,I3,Mielizna,7%
34,63,Brązowy Łosoś,K2,Mielizna,10%
34,63,Brązowy Łosoś,L2,Sztorm,57%
34,63,Brązowy Łosoś,N2,Harpie,7%
35,57,Tęczowy Szczupak,K3,Piraci,20%
35,57,Tęczowy Szczupak,K3,Sztorm,0%
36,59,Złoty Szczupak,P6,Piraci,20%
36,59,Złoty Szczupak,Q5,Sztorm,0%
36,59,Złoty Szczupak,Q3,Sztorm,0%
37,64,Brunatny Sandacz,P10,Harpie,0%
37,64,Brunatny Sandacz,O10,Mielizna,14%
37,64,Brunatny Sandacz,O10,Rekiny,4%
37,64,Brunatny Sandacz,M10,Smok,34%
37,64,Brunatny Sandacz,L10,Kraken,34%
37,64,Brunatny Sandacz,K7,Sztorm,4%
37,64,Brunatny Sandacz,H6,Rekiny,4%
38,20,Brunatny Karp,J12,Harpie,14%
38,20,Brunatny Karp,I10,Mielizna,37%
38,20,Brunatny Karp,I10,Sztorm,0%
38,20,Brunatny Karp,I8,Mielizna,7%
38,20,Brunatny Karp,I7,Piraci,7%
39,30,Brunatny Pstrąg,K9,Mielizna,10%
39,30,Brunatny Pstrąg,M4,Piraci,25%
39,30,Brunatny Pstrąg,M4,Sztorm,20%
39,30,Brunatny Pstrąg,O3,Harpie,0%
40,3,Purpurowy Szczupak,K16,Mielizna,4%
40,3,Purpurowy Szczupak,K16,Sztorm,17%
40,3,Purpurowy Szczupak,L16,Harpie,0%
40,3,Purpurowy Szczupak,L16,Mielizna,4%
40,3,Purpurowy Szczupak,K16,Mielizna,14%
40,3,Purpurowy Szczupak,K15,Mielizna,14%
40,3,Purpurowy Szczupak,K15,Góra lodowa,17%
42,23,Czerwony Karp,H4,Sztorm,0%
42,23,Czerwony Karp,J2,Rekiny,0%
42,23,Czerwony Karp,L2,Mielizna,10%
43,5,Srebrny Pstrąg,H5,Harpie,0%
43,5,Srebrny Pstrąg,H11,Piraci,0%
43,5,Srebrny Pstrąg,H11,Sztorm,0%
43,5,Srebrny Pstrąg,H12,Sztorm,20%
43,5,Srebrny Pstrąg,I13,Sztorm,10%
44,55,Srebrny Tuńczyk,O11,Rekiny,0%
44,55,Srebrny Tuńczyk,Q9,Mielizna,10%
44,55,Srebrny Tuńczyk,Q10,Sztorm,30%
46,16,Biały Tuńczyk,O2,Piraci,14%
46,16,Biały Tuńczyk,N3,Harpie,0%
46,16,Biały Tuńczyk,J3,Sztorm,14%
46,16,Biały Tuńczyk,I4,Sztorm,14%
47,66,Czarny Śledź,Q3,Rekiny,0%
47,66,Czarny Śledź,R6,Kraken,14%
47,66,Czarny Śledź,S7,Harpie,14%
47,66,Czarny Śledź,R6,Kraken,14%
47,66,Czarny Śledź,Q3,Harpie,4%
48,43,Brązowy Sandacz,Q9,Rekiny,0%
49,67,Czerwony Leszcz,P6,Harpie,0%
50,61,Brązowy Leszcz,G3,Rekiny,0%
50,61,Brązowy Leszcz,C2,Sztorm,20%
50,61,Brązowy Leszcz,F3,Piraci,55%
52,8,Pomarańczowy Dorsz,I4,Rekiny,5%
52,8,Pomarańczowy Dorsz,J4,Kraken,20%
52,8,Pomarańczowy Dorsz,J4,Sztorm,30%
52,8,Pomarańczowy Dorsz,L4,Kraken,0%
54,32,Srebrny Szprot,K11,Piraci,0%
54,32,Srebrny Szprot,L11,Piraci,0%
54,32,Srebrny Szprot,L11,Rekiny,7%
54,32,Srebrny Szprot,M11,Piraci,0%
54,32,Srebrny Szprot,M11,Kraken,0%
54,32,Srebrny Szprot,N11,Harpie,0%
54,32,Srebrny Szprot,P11,Smok,20%
55,49,Barwny Jesiotr,L8,Rekiny,4%
55,49,Barwny Jesiotr,L9,Sztorm,17%
56,14,Barwny Łosoś,M4,Sztorm,10%
56,14,Barwny Łosoś,M5,Sztorm,25%
56,14,Barwny Łosoś,M5,Ogień,5%
56,14,Barwny Łosoś,L6,Sztorm,20%
56,14,Barwny Łosoś,L7,Mielizna,15%
56,14,Barwny Łosoś,L9,Rekiny,5%
57,47,Turkusowy Leszcz,I2,Piraci,17%
57,47,Turkusowy Leszcz,I2,Harpie,10%
57,47,Turkusowy Leszcz,I2,Mielizna,10%
60,9,Brązowy Halibut,N4,Harpie,0%
63,25,Biały Szczupak,G12,Harpie,20%
64,37,Niebieski Węgorz,Q3,Harpie,7%
64,37,Niebieski Węgorz,R4,Piraci,27%
64,37,Niebieski Węgorz,R4,Rekiny,4%
64,37,Niebieski Węgorz,S4,Harpie,0%
68,29,Zielony Szprot,F4,Sztorm,34%
68,29,Zielony Szprot,F5,Harpie,0%
68,29,Zielony Szprot,E6,Kraken,20%
68,29,Zielony Szprot,E7,Sztorm,14%
69,51,Szary Węgorz,Q10,Rekiny,7%
69,51,Szary Węgorz,Q9,Sztorm,4%
69,51,Szary Węgorz,Q8,Mielizna,10%
69,51,Szary Węgorz,R7,Sztorm,0%
69,51,Szary Węgorz,Q9,Mielizna,20%
70,27,Srebrny Jesiotr,Q6,Piraci,0%
70,27,Srebrny Jesiotr,Q4,Sztorm,0%
71,70,Brązowy Śledź,I15,Góra lodowa,10%
71,70,Brązowy Śledź,H15,Harpie,0%
71,70,Brązowy Śledź,H15,Góra lodowa,5%
72,34,Srebrny Szczupak,H15,Mielizna,5%
72,34,Srebrny Szczupak,H15,Sztorm,15%
74,33,Niebieski Śledź,O2,Rekiny,15%
76,11,Biały Węgorz,K2,Harpie,0%
76,11,Biały Węgorz,K2,Rekiny,7%
76,11,Biały Węgorz,M2,Smok,10%
77,1,Turkusowy Szprot,H4,Harpie,0%
77,1,Turkusowy Szprot,J4,Kraken,20%
78,4,Złoty Jesiotr,Q10,Harpie,0%
